id,rated,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,opening_name,Number of moves in the opening phase
qA3mBgZy,True,70,mate,black,9+0,b6a8h,1606,tylda,1531,Nimzo-Larsen Attack: Modern Variation #2,3
kjcnFGve,True,72,mate,black,8+0,b6a8h,1615,plys98,1678,Nimzo-Larsen Attack: English Variation,2
oAIt9BhG,True,59,resign,white,8+0,pikeyboy,1675,b6a8h,1624,Scandinavian Defense: Main Line,6
aBoT9jRl,True,88,mate,black,8+0,b6a8h,1635,magoggo,1625,Nimzo-Larsen Attack: Modern Variation #4,5
3DGrWQfz,True,77,outoftime,white,8+0,b6a8h,1625,mrthink3r,1619,Nimzo-Larsen Attack: Classical Variation,2
2W2itehU,True,87,mate,white,8+0,b6a8h,1612,unantha,1680,Nimzo-Larsen Attack: Modern Variation #2,3
vGDQGf1K,True,38,mate,black,8+0,b6a8h,1620,enigmacode,1709,Nimzo-Larsen Attack: Classical Variation,2
s15oCFja,True,50,mate,black,10+2,b6a8h,1637,frompisaitaly,1408,Nimzo-Larsen Attack: Modern Variation #4,5
qpzK6Pxh,True,40,resign,black,5+8,lazy-chess,1636,b6a8h,1614,Nimzo-Larsen Attack: Classical Variation,2
9JfGPQoA,True,30,resign,black,10+5,b6a8h,1620,adikamat,1817,English Opening: King's English Variation |  Kramnik-Shirov Counterattack,4
h0um0i0j,True,63,mate,white,8+0,patrikfodor,1588,b6a8h,1632,Queen's Gambit Declined,4
cLMSAWe9,True,71,mate,white,5+5,piotrtchaikovsky,1619,b6a8h,1644,Queen's Pawn Game: Chigorin Variation,4
BQepq4BZ,True,125,resign,black,8+5,b6a8h,1653,badbishopjones,1716,English Opening: King's English Variation |  Reversed Sicilian,3
4doHNQJH,True,21,resign,white,5+8,myzika51,1783,b6a8h,1660,Slav Defense #2,5
79Ariy0a,True,79,mate,white,5+8,rassem,1806,b6a8h,1667,Scandinavian Defense: Main Line,6
Z9HgZnbT,False,39,resign,white,5+5,b6a8h,1667,isidore,1352,English Opening: Anglo-Scandinavian Defense |  Loehn Gambit,4
g1YP9qGX,True,88,mate,black,10+0,chuckcj,1751,scooberftw,1744,Indian Game,2
hv3yBABa,True,55,resign,white,10+0,felipeaq1999,1711,scooberftw,1757,Benoni Defense: Modern Variation,6
